,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,-45,-11.2454,-1.81E+01,-13.0761,-18.5933,-16.7913,-13.0518,-14.1169,-18.184,-17.111,-11.9299,-8.41697,-7.35888,-5.67736,-4.54948,-5.24996,-5.74893,-9.40625,-7.92604,-10.273,-12.2875,-9.61385,-10.8677,-13.0552,-16.7203,-12.9832,-12.8406,-18.3773,-17.4404,-10.2874,-6.66122,-1.45532,2.336593,4.907822,7.649892,9.167015,10.72499,11.35255,11.6638,11.44342,11.05298,10.61539,9.541153,7.819934,6.831632,4.668141,2.257547,0.845073,-0.2873,-4.79881,-6.86598,-7.51047,-6.57906,-9.0219,-8.78625,-7.98048,-10.6129,-12.5528,-10.1468,-9.39882,-12.7588,-7.01973,-4.75687,-4.1307,-6.13926,-6.62583,-8.09681,-7.05307,-5.20154,-7.14626,-9.19602,-6.79502
11,-40,-10.7094,-1.44E+01,-12.9352,-17.3718,-15.6878,-15.9297,-12.2501,-16.2739,-13.7404,-10.4532,-8.1886,-8.29237,-7.03202,-3.401,-3.99592,-4.66883,-6.30139,-6.39602,-9.85615,-14.0517,-8.10309,-11.6099,-17.4771,-26.7889,-10.6767,-12.5246,-15.8335,-13.4856,-8.49622,-5.85613,-1.27447,2.550611,5.139207,7.822167,9.392159,10.84509,11.14557,11.39404,11.15943,10.51838,10.05903,8.622478,6.876542,5.957325,2.926188,0.85366,-1.13493,-3.51978,-6.40623,-7.06297,-3.84158,-4.74719,-5.26192,-6.55893,-5.79101,-6.38701,-9.55511,-11.2701,-11.1192,-11.6633,-7.01109,-8.19939,-5.73044,-5.08074,-5.27849,-7.28399,-7.05916,-5.54662,-7.18038,-8.3711,-6.9008
12,-35,-9.88378,-1.27E+01,-15.5552,-18.1602,-14.2005,-14.5396,-10.6913,-17.4071,-14.0256,-10.0111,-9.15041,-10.3646,-11.2158,-5.10104,-5.20508,-5.67343,-5.24108,-7.20355,-9.72592,-10.5414,-7.34956,-8.04725,-11.892,-16.4001,-10.6667,-16.035,-15.2243,-11.0148,-6.90273,-4.33424,-0.68926,2.575352,5.249486,7.987994,9.648068,10.94428,10.92566,11.13789,10.78308,10.21202,9.311407,7.742041,6.13782,4.661456,1.093666,0.023993,-2.75295,-3.00376,-4.09122,-0.99121,-1.35801,-2.45143,-1.84261,-4.31481,-3.7997,-4.88954,-6.0629,-8.07607,-10.9506,-7.39717,-9.75772,-8.84354,-6.18181,-3.93552,-4.24083,-8.15297,-7.45905,-5.95613,-7.12596,-8.3759,-6.54258
13,-30,-8.89105,-1.33E+01,-15.9577,-18.9392,-11.6396,-13.8935,-10.6283,-19.0634,-18.1065,-11.2736,-11.1131,-11.4576,-10.6829,-6.04513,-5.95801,-6.29757,-6.75138,-8.02547,-11.455,-10.2621,-9.87314,-7.49231,-14.655,-14.5309,-12.1772,-17.1428,-14.7102,-11.0963,-6.31802,-3.16718,0.053087,2.778053,5.321295,8.090637,9.73379,10.80067,10.65724,10.78833,10.35185,9.894184,8.371157,6.871115,5.302461,2.755332,-0.01552,-2.24164,-2.82879,-0.5406,0.35917,1.667733,0.371109,-0.33575,-2.25216,-3.54351,-5.59737,-5.04371,-4.47444,-6.03597,-4.86288,-4.26962,-9.46203,-10.105,-5.60538,-3.02049,-4.23258,-7.3388,-7.24568,-6.10045,-7.10548,-9.82359,-9.38345
14,-25,-9.25688,-1.23E+01,-12.4625,-19.9328,-9.73167,-14.6114,-11.8097,-15.5259,-23.124,-11.6122,-13.15,-12.6915,-8.6769,-6.35367,-4.49326,-5.05023,-5.97059,-8.07955,-9.06801,-10.4325,-14.4207,-15.7105,-20.2576,-15.848,-18.5381,-14.2929,-13.332,-13.1939,-5.78236,-1.73866,0.969365,3.39491,5.45566,8.382726,9.708935,10.69026,10.43599,10.36446,9.803867,9.397989,7.445832,6.023479,4.20319,0.978752,-1.23044,-6.21272,-2.22815,0.890349,2.573943,1.850682,1.247065,-1.02477,-2.91359,-5.22135,-4.41225,-5.25475,-4.49466,-4.99422,-1.09884,-3.4553,-3.34642,-8.33659,-7.70617,-3.34853,-4.14451,-6.52451,-9.20613,-5.61005,-7.65998,-11.3646,-12.3924
15,-20,-11.228,-1.28E+01,-9.93758,-13.612,-9.24354,-14.7307,-9.28242,-9.70121,-20.8489,-9.48108,-8.66912,-6.5444,-4.15505,-2.85315,-1.7021,-2.29318,-1.45319,-3.75469,-6.62816,-6.99179,-9.04223,-16.7803,-13.1393,-10.4672,-20.5591,-13.2522,-10.3605,-11.54,-6.08633,-0.60834,1.908803,4.268134,6.020225,8.607235,9.805442,10.72792,10.22435,9.942123,9.252404,8.692525,6.72235,5.265642,3.195055,0.237549,-2.55442,-7.45282,-1.012,2.583413,2.395829,2.436432,1.171511,-1.4077,-4.06234,-5.45869,-4.73991,-3.40437,-4.02664,-3.93551,-2.80289,-3.88722,-4.48799,-6.58862,-5.20489,-5.7114,-4.12881,-7.97763,-8.91909,-6.56599,-9.25613,-9.83895,-12.8717
16,-15,-12.9326,-1.15E+01,-9.05124,-9.90492,-9.2628,-12.956,-5.32194,-6.87274,-11.4175,-7.80127,-4.88643,-1.58198,0.124265,0.166897,0.333772,0.093187,0.915647,0.251933,-2.07423,-3.23215,-4.09424,-7.66807,-6.61728,-7.25067,-14.0236,-14.4418,-7.73541,-9.2095,-6.18311,-0.02217,2.843592,5.03631,6.582549,8.75535,10.02403,10.70989,10.05745,9.57587,8.855551,7.869436,5.813953,4.313394,1.957743,-0.26894,-4.3996,-5.06469,0.180365,3.149534,1.92091,1.848515,0.301804,-1.67403,-4.07159,-7.26293,-6.88904,-3.93394,-5.88372,-3.13286,-3.0679,-4.24794,-5.8254,-4.71589,-5.78163,-5.00354,-2.13038,-6.24646,-10.437,-6.70671,-9.94507,-8.82874,-12.5229
17,-10,-11.6178,-1.19E+01,-8.53683,-8.24004,-11.0153,-11.3249,-3.47553,-5.19595,-7.65449,-4.205,0.030011,2.502447,2.503588,1.35996,1.743744,1.291444,2.274981,2.545525,0.434495,-0.7994,-2.35661,-3.65083,-4.97545,-5.9515,-8.2189,-14.0919,-6.26083,-8.46956,-7.59227,0.29592,3.706019,5.94334,7.196984,9.052683,10.26834,10.58921,9.903728,9.319296,8.400168,6.905817,4.766729,3.422925,0.753954,-1.57445,-5.62912,-3.79485,0.57431,2.114092,1.671216,0.527974,-1.49958,-2.52653,-2.29996,-5.09348,-5.72319,-5.80481,-7.71426,-3.47529,-0.57743,-2.95725,-4.53192,-3.53441,-1.85681,-1.50221,-1.57294,-5.10936,-7.46376,-7.93612,-8.7824,-8.16344,-14.3953
18,-5,-10.5218,-1.41E+01,-8.15968,-7.81107,-11.3078,-9.2688,-2.45428,-3.35841,-7.18193,-0.50759,3.754503,4.887408,3.778597,1.316865,2.062427,2.129794,3.30249,2.88864,2.008075,0.50963,-1.11325,-0.89568,-2.73088,-3.3799,-4.09935,-9.28553,-5.55315,-8.02011,-10.8164,-0.23571,4.376353,6.606582,7.788277,9.251385,10.41596,10.52408,9.80894,9.126149,7.957284,5.925374,3.835006,2.695647,-0.09524,-3.17467,-5.45129,-3.67477,-0.02654,0.708623,1.65833,-0.70003,-3.33819,-2.6455,-1.0963,-1.29033,-2.32435,-4.26857,-4.19546,-3.07652,-0.3858,-1.73743,-2.00945,-3.79757,-1.27334,0.059507,-1.40628,-5.05989,-7.57397,-10.2324,-10.1852,-9.37903,-13.9795
19,0,-10.3979,-1.47E+01,-7.44107,-7.03045,-11.7015,-7.48782,-2.00354,-2.37654,-7.53371,1.764841,5.158588,5.356133,2.939629,-0.80761,0.800632,2.127517,3.340423,2.875381,2.701472,1.448762,0.672325,0.82332,-0.21104,-0.87512,-1.56725,-5.39206,-5.02263,-7.2474,-9.19963,1.614736,4.984017,7.124041,8.406813,9.432805,10.53639,10.52542,9.665083,8.866701,7.727215,5.231932,3.119183,2.148818,-1.11614,-4.03002,-5.35615,-4.88226,-1.28605,0.119596,1.780222,-1.1833,-4.18804,-3.01425,-1.24417,0.381051,-0.209,-1.75502,-2.08455,-2.18336,-2.67431,-2.05612,-2.90708,-4.12746,-1.27781,0.256419,-1.33233,-5.90444,-7.10878,-11.3505,-8.86002,-10.8019,-11.04
